index,Country
0,Afghanistan
1,Algeria
2,Argentina
3,Armenia
4,Australia
5,Austria
6,Azerbaijan
7,Bahrain
8,Belarus
9,Belgium
10,Bosnia and Herzegovina
11,Brazil
12,Cambodia
13,Cameroon
14,Canada
15,Chile
16,China
17,Colombia
18,Costa Rica
19,Croatia
20,Czech Republic
21,Denmark
22,Dominican Republic
23,Ecuador
24,Egypt
25,Estonia
26,Faroe Islands
27,Finland
28,France
29,Georgia
30,Germany
31,Gibraltar
32,Greece
33,Hungary
34,Iceland
35,India
36,Indonesia
37,Iran
38,Iraq
39,Ireland
40,Israel
41,Italy
42,Japan
43,Jordan
44,Kuwait
45,Latvia
46,Lebanon
47,Lithuania
48,Luxembourg
49,Macau
50,Malaysia
51,Mexico
52,Morocco
53,Nepal
54,Netherlands
55,New Zealand
56,Nigeria
57,Norway
58,Oman
59,Others
60,Pakistan
61,Peru
62,Philippines
63,Poland
64,Portugal
65,Qatar
66,Romania
67,Russia
68,Saudi Arabia
69,Senegal
70,Serbia
71,Singapore
72,Slovakia
73,Slovenia
74,South Africa
75,South Korea
76,Spain
77,Sri Lanka
78,Sweden
79,Switzerland
80,Thailand
81,Togo
82,Tunisia
83,Ukraine
84,United Arab Emirates
85,United Kingdom
86,United States
87,Vatican City
88,Vietnam
